Frequency [Hz],"Amp_0[dB] 
(P = 0.020 [mbar])","Amp_1[dB] 
(P = 0.020 [mbar])","Amp_2[dB] 
(P = 0.020 [mbar])"
2141000000.0,-84.0,-83.8,-83.9
2142000000.0,-83.9,-83.7,-83.5
2143000000.0,-83.8,-83.7,-83.7
2144000000.0,-83.8,-83.6,-83.5
2145000000.0,-83.5,-83.5,-83.4
2146000000.0,-83.1,-83.4,-83.1
2147000000.0,-83.1,-83.3,-83.1
2148000000.0,-83.2,-83.1,-82.9
2149000000.0,-82.8,-82.8,-82.8
2150000000.0,-82.7,-82.8,-82.5
2151000000.0,-82.7,-82.5,-82.7
2152000000.0,-82.4,-82.7,-82.5
2153000000.0,-82.5,-82.2,-82.3
2154000000.0,-82.5,-82.3,-82.2
2155000000.0,-81.9,-82.1,-82.0
2156000000.0,-82.1,-82.0,-81.7
2157000000.0,-81.7,-81.8,-81.7
2158000000.0,-81.9,-81.6,-81.6
2159000000.0,-81.5,-81.4,-81.7
2160000000.0,-81.4,-81.3,-81.4
2161000000.0,-81.1,-81.2,-81.4
2162000000.0,-80.9,-81.3,-81.0
2163000000.0,-80.9,-80.9,-81.0
2164000000.0,-80.8,-81.1,-81.0
2165000000.0,-81.1,-80.8,-81.0
2166000000.0,-80.6,-80.8,-80.9
2167000000.0,-80.8,-80.9,-80.8
2168000000.0,-80.8,-80.7,-80.3
2169000000.0,-80.5,-80.5,-80.5
2170000000.0,-80.4,-80.5,-80.3
2171000000.0,-80.3,-80.5,-80.2
2172000000.0,-80.1,-80.2,-80.2
2173000000.0,-80.4,-80.4,-80.2
2174000000.0,-80.3,-80.1,-80.2
2175000000.0,-80.0,-80.0,-80.0
2176000000.0,-80.2,-80.2,-80.2
2177000000.0,-80.1,-80.0,-80.2
2178000000.0,-80.3,-80.2,-80.1
2179000000.0,-80.2,-80.2,-80.1
2180000000.0,-80.4,-80.2,-80.5
2181000000.0,-80.3,-80.2,-80.4
2182000000.0,-80.4,-80.5,-80.4
2183000000.0,-80.5,-80.4,-80.6
2184000000.0,-80.7,-80.8,-80.8
2185000000.0,-80.8,-80.6,-80.9
2186000000.0,-80.9,-80.7,-81.0
2187000000.0,-80.9,-81.0,-81.0
2188000000.0,-81.0,-81.1,-81.1
2189000000.0,-81.4,-81.1,-81.3
2190000000.0,-81.3,-81.3,-81.2
2191000000.0,-81.5,-81.4,-81.6
2192000000.0,-81.4,-81.6,-81.7
2193000000.0,-81.5,-81.7,-81.8
2194000000.0,-81.7,-81.9,-81.7
2195000000.0,-81.9,-81.9,-82.0
2196000000.0,-81.9,-81.9,-82.0
2197000000.0,-82.4,-82.3,-82.1
2198000000.0,-82.2,-82.4,-82.5
2199000000.0,-82.3,-82.5,-82.6
2200000000.0,-82.0,-81.9,-81.7
2201000000.0,-82.1,-81.9,-82.1
2202000000.0,-82.0,-82.2,-82.0
2203000000.0,-82.4,-82.2,-82.3
2204000000.0,-82.2,-82.3,-82.5
2205000000.0,-82.3,-82.3,-82.3
2206000000.0,-82.5,-82.5,-82.5
2207000000.0,-82.5,-82.5,-82.7
2208000000.0,-82.6,-82.8,-82.7
2209000000.0,-82.8,-82.9,-82.7
2210000000.0,-82.7,-82.8,-82.9
2211000000.0,-82.8,-82.6,-82.5
2212000000.0,-83.0,-83.0,-82.9
2213000000.0,-83.0,-82.7,-82.8
2214000000.0,-82.7,-82.7,-83.2
2215000000.0,-83.0,-83.1,-82.9
2216000000.0,-83.2,-83.0,-83.0
2217000000.0,-82.8,-82.9,-83.1
2218000000.0,-82.9,-82.9,-82.5
2219000000.0,-82.6,-82.7,-83.0
2220000000.0,-82.8,-82.8,-82.9
2221000000.0,-83.0,-82.6,-83.0
2222000000.0,-82.7,-82.8,-82.7
2223000000.0,-82.6,-82.8,-82.4
2224000000.0,-82.6,-82.6,-82.4
2225000000.0,-82.5,-83.0,-82.4
2226000000.0,-82.4,-82.4,-82.8
2227000000.0,-82.3,-82.6,-82.7
2228000000.0,-82.3,-82.2,-82.4
2229000000.0,-82.1,-82.2,-82.4
2230000000.0,-82.0,-82.1,-82.1
2231000000.0,-81.9,-82.1,-82.2
2232000000.0,-81.9,-82.1,-82.0
2233000000.0,-81.8,-81.8,-81.7
2234000000.0,-81.8,-81.6,-81.5
2235000000.0,-81.5,-81.3,-81.6
2236000000.0,-81.3,-81.4,-81.0
2237000000.0,-81.1,-81.2,-81.2
2238000000.0,-81.0,-81.2,-81.1
2239000000.0,-80.9,-80.9,-80.9
2240000000.0,-80.6,-80.8,-81.2
2241000000.0,-80.5,-80.5,-80.3
2242000000.0,-80.5,-80.4,-80.4
2243000000.0,-80.3,-80.3,-80.1
2244000000.0,-80.0,-80.2,-80.0
2245000000.0,-79.9,-80.0,-79.8
2246000000.0,-79.7,-79.8,-79.8
2247000000.0,-79.6,-79.7,-79.5
2248000000.0,-79.2,-79.4,-79.4
2249000000.0,-79.2,-79.3,-79.2
2250000000.0,-79.2,-79.0,-79.0
2251000000.0,-79.2,-78.9,-78.9
2252000000.0,-78.7,-78.9,-78.8
2253000000.0,-78.8,-78.7,-78.6
2254000000.0,-78.6,-78.6,-78.4
2255000000.0,-78.5,-78.7,-78.4
2256000000.0,-78.3,-78.2,-78.2
2257000000.0,-78.4,-78.3,-78.3
