amplitude,frequency
-103.4,3386000000
-103.2,3387000000
-103.5,3388000000
-103.7,3389000000
-103.7,3390000000
-103.0,3391000000
-103.8,3392000000
-103.8,3393000000
-103.1,3394000000
-103.2,3395000000
-103.3,3396000000
-103.3,3397000000
-102.9,3398000000
-103.3,3399000000
-105.7,3400000000
-105.7,3401000000
-105.6,3403000000
-105.6,3404000000
-105.6,3405000000
-106.1,3406000000
-106.1,3407000000
-106.0,3408000000
-106.0,3409000000
-106.0,3410000000
-106.0,3411000000
-105.5,3412000000
-105.8,3413000000
-105.8,3414000000
-105.9,3415000000
-105.9,3416000000
-105.8,3417000000
-105.7,3418000000
-105.3,3419000000
-105.6,3420000000
-105.6,3421000000
-105.7,3422000000
-105.7,3423000000
-105.3,3424000000
-105.4,3425000000
-105.4,3426000000
-105.6,3427000000
-105.6,3428000000
-105.6,3429000000
-105.6,3430000000
-105.6,3431000000
-105.5,3432000000
-105.6,3433000000
-105.6,3434000000
-105.5,3435000000
-105.5,3436000000
-105.7,3437000000
-105.7,3438000000
-105.5,3439000000
-105.5,3440000000
-105.4,3441000000
-105.4,3442000000
-105.7,3443000000
-105.7,3444000000
-105.1,3445000000
-105.7,3446000000
-105.7,3447000000
-105.5,3448000000
-105.6,3449000000
-105.6,3450000000
-105.7,3451000000
-106.1,3452000000
-106.1,3453000000
-105.6,3454000000
-105.8,3455000000
-105.8,3456000000
-105.8,3457000000
-105.2,3458000000
-105.3,3459000000
-105.4,3460000000
-105.4,3461000000
-105.9,3462000000
-105.9,3463000000
-105.8,3464000000
-105.8,3465000000
-105.8,3466000000
-105.8,3467000000
-105.8,3468000000
-105.6,3469000000
-105.9,3470000000
-105.9,3471000000
-105.9,3472000000
-105.9,3473000000
-105.5,3474000000
-105.9,3475000000
-105.9,3476000000
-105.1,3477000000
-105.5,3478000000
-105.5,3479000000
-105.3,3480000000
-105.7,3481000000
-105.7,3482000000
-105.6,3483000000
-105.7,3484000000
-105.7,3485000000
-105.8,3486000000
-105.8,3487000000
-105.8,3488000000
-105.8,3489000000
-105.2,3490000000
-105.3,3491000000
-105.4,3492000000
-105.7,3493000000
-105.7,3494000000
-105.6,3495000000
-105.2,3496000000
-105.7,3497000000
-105.7,3498000000
-105.5,3499000000
-105.5,3500000000
-105.5,3501000000
-102.9,3502000000
-102.7,3503000000
-103.1,3504000000
-103.1,3505000000
-102.6,3506000000
-103.2,3507000000
-103.2,3508000000
-102.7,3509000000
-102.7,3510000000
-102.8,3511000000
-103.3,3512000000
-103.3,3513000000
-102.9,3514000000
-103.1,3515000000
-103.2,3516000000
-103.2,3517000000
-103.1,3518000000
-103.2,3519000000
-103.2,3520000000
-102.8,3521000000
-103.1,3266000000
-103.1,3267000000
-103.1,3268000000
-103.1,3269000000
-103.1,3270000000
-102.9,3271000000
-103.0,3272000000
-103.5,3273000000
-103.5,3274000000
-103.1,3275000000
-103.0,3276000000
-103.2,3277000000
-103.2,3278000000
-102.4,3279000000
-103.6,3280000000
-103.6,3281000000
-102.8,3282000000
-102.8,3283000000
-102.8,3284000000
-103.1,3285000000
-103.2,3286000000
-103.2,3287000000
-103.2,3288000000
-103.6,3289000000
-103.6,3290000000
-102.7,3291000000
-102.7,3292000000
-103.1,3293000000
-103.1,3294000000
-103.2,3295000000
-103.3,3296000000
-103.3,3297000000
-103.4,3298000000
-103.4,3299000000
-103.2,3300000000
-102.8,3301000000
-103.3,3302000000
-103.3,3303000000
-103.0,3304000000
-102.0,3305000000
-102.5,3306000000
-102.5,3307000000
-102.7,3308000000
-103.0,3309000000
-103.0,3310000000
-103.0,3311000000
-102.8,3312000000
-102.8,3313000000
-102.9,3314000000
-102.9,3315000000
-102.7,3316000000
-102.9,3317000000
-102.9,3318000000
-102.6,3319000000
-102.6,3320000000
-103.3,3321000000
-103.3,3322000000
-102.9,3323000000
-103.3,3324000000
-103.4,3325000000
-103.4,3326000000
-103.3,3327000000
-103.3,3328000000
-103.4,3329000000
-103.4,3330000000
-103.1,3331000000
-103.1,3332000000
-103.5,3333000000
-103.5,3334000000
-103.6,3335000000
-103.6,3336000000
-103.5,3337000000
-103.5,3338000000
-103.1,3339000000
-103.2,3340000000
-103.2,3341000000
-103.2,3342000000
-103.0,3343000000
-103.0,3344000000
-103.0,3345000000
-103.1,3346000000
-103.4,3347000000
-103.5,3348000000
-103.5,3349000000
-103.2,3350000000
-103.1,3351000000
-103.1,3352000000
-103.0,3353000000
-103.1,3354000000
-103.1,3355000000
-103.2,3356000000
-103.2,3357000000
-103.0,3358000000
-102.8,3359000000
-103.0,3360000000
-103.0,3361000000
-102.6,3362000000
-103.1,3363000000
-103.1,3364000000
-103.3,3365000000
-103.6,3366000000
-103.6,3367000000
-103.3,3368000000
-103.4,3369000000
-103.4,3370000000
-103.0,3371000000
-102.6,3372000000
-102.8,3373000000
-102.8,3374000000
-103.0,3375000000
-103.0,3376000000
-103.4,3377000000
-103.4,3378000000
-102.2,3379000000
-103.5,3380000000
-103.5,3381000000
-103.0,3382000000
-103.0,3383000000
-103.1,3384000000
-103.5,3385000000
-103.5,3386000000
-103.5,3387000000
-103.5,3388000000
-102.9,3389000000
-103.1,3390000000
-103.4,3391000000
-103.4,3392000000
-103.2,3393000000
-102.9,3394000000
-102.8,3395000000
-102.8,3396000000
-103.1,3397000000
-103.3,3398000000
-103.3,3399000000
-103.0,3400000000
-102.0,3401000000
-102.9,3658000000
-103.1,3659000000
-103.5,3660000000
-103.5,3661000000
-103.2,3662000000
-102.6,3663000000
-102.6,3664000000
-103.0,3665000000
-103.0,3666000000
-102.9,3667000000
-103.2,3668000000
-103.2,3669000000
-102.8,3670000000
-102.8,3671000000
-103.1,3672000000
-103.1,3673000000
-103.0,3674000000
-103.0,3675000000
-103.5,3676000000
-103.5,3677000000
-102.7,3678000000
-103.1,3679000000
-103.1,3680000000
-103.1,3681000000
-103.1,3682000000
-103.1,3683000000
-103.6,3684000000
-103.6,3685000000
-102.9,3686000000
-102.8,3687000000
-103.1,3688000000
-103.1,3689000000
-103.2,3690000000
-103.2,3691000000
-103.3,3692000000
-103.3,3693000000
-103.2,3694000000
-103.2,3695000000
-103.2,3696000000
-103.2,3697000000
-103.0,3698000000
-102.9,3699000000
-103.4,3700000000
-103.7,3701000000
-103.8,3702000000
-103.8,3703000000
-103.7,3704000000
-103.7,3705000000
-103.3,3706000000
-103.5,3707000000
-103.5,3708000000
-103.0,3709000000
-103.2,3710000000
-103.8,3711000000
-103.8,3712000000
-103.5,3713000000
-103.4,3714000000
-103.4,3715000000
-103.7,3716000000
-103.7,3717000000
-103.7,3718000000
-103.7,3719000000
-103.5,3720000000
-103.8,3721000000
-103.8,3722000000
-103.6,3723000000
-103.4,3724000000
-103.7,3725000000
-103.7,3726000000
-103.5,3727000000
-103.1,3728000000
-103.3,3729000000
-103.3,3730000000
-103.1,3731000000
-103.1,3732000000
-103.1,3733000000
-103.4,3734000000
-103.4,3735000000
-103.8,3736000000
-103.8,3737000000
-103.5,3738000000
-103.2,3739000000
-104.0,3740000000
-104.0,3741000000
-103.6,3742000000
-103.4,3743000000
-103.4,3744000000
-103.0,3745000000
-103.4,3746000000
-103.4,3747000000
-103.9,3748000000
-103.9,3749000000
-103.5,3750000000
-103.4,3751000000
-103.3,3752000000
-104.1,3753000000
-104.1,3754000000
-103.6,3755000000
-103.6,3756000000
-103.5,3757000000
-103.2,3758000000
-103.2,3759000000
-103.2,3760000000
-103.6,3761000000
-103.6,3762000000
-103.5,3763000000
-103.6,3764000000
-103.6,3765000000
-103.8,3766000000
-103.8,3767000000
-103.4,3768000000
-104.1,3769000000
-104.1,3770000000
-103.5,3771000000
-103.5,3772000000
-103.3,3773000000
-103.3,3774000000
-103.6,3775000000
-103.6,3776000000
-102.8,3265000000
-103.5,3266000000
-103.5,3267000000
-103.4,3268000000
-103.4,3269000000
-103.6,3270000000
-103.6,3271000000
-103.4,3272000000
-103.6,3273000000
-103.6,3274000000
-103.6,3275000000
-103.7,3276000000
-103.7,3277000000
-103.4,3278000000
-103.4,3279000000
-103.3,3280000000
-103.0,3281000000
-103.6,3282000000
-103.6,3283000000
-103.4,3284000000
-103.9,3285000000
-103.9,3286000000
-103.4,3287000000
-103.4,3288000000
-103.4,3289000000
-103.6,3290000000
-103.6,3291000000
-103.3,3292000000
-103.3,3293000000
-103.2,3294000000
-103.2,3295000000
-103.1,3296000000
-103.1,3297000000
-103.4,3298000000
-103.4,3299000000
-103.4,3300000000
-103.4,3301000000
-103.6,3302000000
-103.6,3303000000
-103.1,3304000000
-103.3,3305000000
-103.3,3306000000
-103.1,3307000000
-103.5,3308000000
-103.5,3309000000
-103.5,3310000000
-103.5,3311000000
-102.9,3312000000
-102.8,3313000000
-102.8,3314000000
-103.1,3315000000
-103.3,3316000000
-103.3,3317000000
-103.3,3318000000
-103.0,3319000000
-103.2,3320000000
-103.5,3321000000
-103.7,3322000000
-103.7,3323000000
-103.3,3324000000
-103.2,3325000000
-103.2,3326000000
-103.3,3327000000
-103.3,3328000000
-102.9,3329000000
-102.7,3330000000
-103.1,3331000000
-103.1,3332000000
-103.1,3333000000
-102.9,3334000000
-103.0,3335000000
-103.0,3336000000
-102.9,3337000000
-103.1,3338000000
-103.1,3339000000
-103.0,3340000000
-103.0,3341000000
-103.3,3342000000
-103.3,3343000000
-103.3,3344000000
-103.1,3345000000
-103.2,3346000000
-103.2,3347000000
-102.9,3348000000
-102.9,3349000000
-103.2,3350000000
-103.2,3351000000
-103.1,3352000000
-103.1,3353000000
-103.4,3354000000
-103.4,3355000000
-103.1,3356000000
-103.4,3357000000
-103.4,3358000000
-103.0,3359000000
-103.5,3360000000
-103.7,3361000000
-103.7,3362000000
-103.8,3363000000
-103.8,3364000000
-103.3,3365000000
-103.1,3366000000
-103.0,3367000000
-103.2,3368000000
-103.2,3369000000
-102.2,3370000000
-103.4,3371000000
-103.4,3372000000
-103.0,3373000000
-103.3,3374000000
-103.3,3375000000
-103.1,3376000000
-103.2,3377000000
-103.2,3378000000
-103.4,3379000000
-103.5,3380000000
-103.8,3386500000
-103.3,3387500000
-103.4,3388500000
-103.4,3389500000
-103.3,3390500000
-103.4,3391500000
-103.4,3392500000
-103.6,3393500000
-103.6,3394500000
-103.6,3395500000
-103.5,3396500000
-103.4,3397500000
-103.5,3398500000
-103.5,3399500000
-105.7,3400500000
-106.0,3401500000
-106.0,3403500000
-105.7,3404500000
-105.7,3405500000
-106.0,3406500000
-106.0,3407500000
-105.6,3408500000
-105.4,3409500000
-105.1,3410500000
-105.3,3411500000
-105.6,3412500000
-105.6,3413500000
