amplitude,frequency
-103.8,3386000000
-103.3,3387000000
-103.5,3388000000
-103.5,3389000000
-103.1,3390000000
-103.1,3391000000
-102.9,3392000000
-102.9,3393000000
-103.0,3394000000
-103.9,3395000000
-103.9,3396000000
-103.6,3397000000
-103.4,3398000000
-103.4,3399000000
-105.7,3400000000
-105.7,3401000000
-105.9,3403000000
-106.0,3404000000
-106.0,3405000000
-105.4,3406000000
-105.4,3407000000
-105.5,3408000000
-105.5,3409000000
-105.4,3410000000
-105.5,3411000000
-105.5,3412000000
-106.1,3413000000
-106.1,3414000000
-105.9,3415000000
-105.7,3416000000
-105.7,3417000000
-105.5,3418000000
-105.5,3419000000
-105.4,3420000000
-105.4,3421000000
-105.8,3422000000
-105.9,3423000000
-105.9,3424000000
-105.8,3425000000
-106.0,3426000000
-106.0,3427000000
-105.5,3428000000
-105.7,3429000000
-105.7,3430000000
-105.5,3431000000
-106.0,3432000000
-106.0,3433000000
-105.7,3434000000
-105.2,3435000000
-105.4,3436000000
-105.4,3437000000
-105.4,3438000000
-106.0,3439000000
-106.0,3440000000
-105.2,3441000000
-106.1,3442000000
-106.1,3443000000
-105.6,3444000000
-105.8,3445000000
-105.8,3446000000
-106.0,3447000000
-106.0,3448000000
-105.8,3449000000
-105.0,3450000000
-105.4,3451000000
-105.7,3452000000
-105.7,3453000000
-106.0,3454000000
-106.0,3455000000
-105.6,3456000000
-105.3,3457000000
-105.8,3458000000
-106.0,3459000000
-106.0,3460000000
-105.6,3461000000
-106.1,3462000000
-106.1,3463000000
-105.8,3464000000
-105.6,3465000000
-105.6,3466000000
-105.3,3467000000
-105.6,3468000000
-105.6,3469000000
-105.5,3470000000
-105.5,3471000000
-105.5,3472000000
-105.4,3473000000
-106.0,3474000000
-106.0,3475000000
-105.8,3476000000
-105.9,3477000000
-105.9,3478000000
-105.2,3479000000
-105.3,3480000000
-105.5,3481000000
-105.9,3482000000
-105.9,3483000000
-104.7,3484000000
-105.3,3485000000
-105.4,3486000000
-105.4,3487000000
-105.7,3488000000
-105.7,3489000000
-105.7,3490000000
-105.7,3491000000
-105.3,3492000000
-105.3,3493000000
-105.7,3494000000
-105.7,3495000000
-105.8,3496000000
-105.8,3497000000
-105.8,3498000000
-105.5,3499000000
-105.7,3500000000
-105.7,3501000000
-103.5,3502000000
-103.5,3503000000
-103.0,3504000000
-102.6,3505000000
-102.7,3506000000
-102.7,3507000000
-102.5,3508000000
-102.5,3509000000
-102.8,3510000000
-102.8,3511000000
-102.8,3512000000
-103.0,3513000000
-103.7,3514000000
-103.7,3515000000
-103.7,3516000000
-103.7,3517000000
-103.6,3518000000
-103.3,3519000000
-103.3,3520000000
-103.1,3521000000
-103.3,3266000000
-103.3,3267000000
-102.7,3268000000
-102.7,3269000000
-102.5,3270000000
-103.1,3271000000
-103.7,3272000000
-103.7,3273000000
-103.0,3274000000
-103.6,3275000000
-103.6,3276000000
-103.2,3277000000
-103.0,3278000000
-102.9,3279000000
-102.7,3280000000
-103.0,3281000000
-103.0,3282000000
-102.4,3283000000
-103.3,3284000000
-103.3,3285000000
-103.1,3286000000
-103.3,3287000000
-103.3,3288000000
-102.8,3289000000
-103.1,3290000000
-103.5,3291000000
-103.5,3292000000
-102.8,3293000000
-103.2,3294000000
-103.2,3295000000
-103.1,3296000000
-103.1,3297000000
-102.9,3298000000
-102.9,3299000000
-103.0,3300000000
-103.5,3301000000
-103.5,3302000000
-102.9,3303000000
-102.9,3304000000
-103.3,3305000000
-103.3,3306000000
-102.8,3307000000
-102.8,3308000000
-102.8,3309000000
-103.1,3310000000
-103.1,3311000000
-103.2,3312000000
-103.2,3313000000
-103.2,3314000000
-103.2,3315000000
-102.9,3316000000
-102.9,3317000000
-102.9,3318000000
-103.3,3319000000
-103.3,3320000000
-103.1,3321000000
-102.8,3322000000
-103.0,3323000000
-103.0,3324000000
-102.7,3325000000
-102.7,3326000000
-103.1,3327000000
-103.2,3328000000
-103.2,3329000000
-103.2,3330000000
-102.1,3331000000
-102.7,3332000000
-103.1,3333000000
-103.2,3334000000
-103.2,3335000000
-102.9,3336000000
-103.0,3337000000
-103.1,3338000000
-103.1,3339000000
-102.6,3340000000
-102.9,3341000000
-103.2,3342000000
-103.2,3343000000
-102.8,3344000000
-102.3,3345000000
-102.4,3346000000
-102.4,3347000000
-103.2,3348000000
-103.2,3349000000
-103.2,3350000000
-103.0,3351000000
-103.2,3352000000
-103.2,3353000000
-102.4,3354000000
-103.5,3355000000
-103.5,3356000000
-103.1,3357000000
-103.4,3358000000
-103.4,3359000000
-103.1,3360000000
-102.8,3361000000
-103.0,3362000000
-103.0,3363000000
-103.5,3364000000
-103.5,3365000000
-103.3,3366000000
-103.3,3367000000
-103.3,3368000000
-103.5,3369000000
-103.5,3370000000
-103.0,3371000000
-103.5,3372000000
-103.5,3373000000
-103.0,3374000000
-103.3,3375000000
-103.3,3376000000
-103.2,3377000000
